iterations,threads,time_in_ns,matrix_size,gmacs
3,8,0,888,5.0
4,1,38656000,888,18.1143178807947
4,8,0,888,5.0
5,1,39765000,888,17.609130441342888
5,8,1000,888,5.0
6,1,40826000,888,17.151498358888944
6,8,0,888,5.0
7,1,38591000,888,18.144828379674017
7,8,1000,888,5.0
8,1,39498000,888,17.7281652741911
8,8,0,888,5.0
9,1,38332000,888,18.26742857142857
9,8,0,888,5.0
0,1,45734000,912,16.586140027113306
0,8,1000,912,5.0
1,1,45426000,912,16.698598335754856
1,8,1000,912,5.0
2,1,42117000,912,18.010554597905834
2,8,1000,912,5.0
3,1,43003000,912,17.639479292142408
3,8,0,912,5.0
4,1,44616000,912,17.00176008606778
4,8,0,912,5.0
5,1,44864000,912,16.90777746077033
5,8,1000,912,5.0
6,1,49184000,912,15.42270917371503
6,8,1000,912,5.0
7,1,42195000,912,17.977261002488447
7,8,1000,912,5.0
8,1,42374000,912,17.90131986595554
8,8,1000,912,5.0
9,1,42248000,912,17.954708577920847
9,8,1000,912,5.0
0,1,51280000,936,15.99114383775351
0,8,4000,936,5.0
1,1,49189000,936,16.67091943320661
1,8,1000,936,5.0
2,1,48084000,936,17.054027451959072
2,8,1000,936,5.0
3,1,50329000,936,16.293307158894475
3,8,1000,936,5.0
4,1,48405000,936,16.940932878834833
4,8,0,936,5.0
5,1,48337000,936,16.964765210915033
5,8,1000,936,5.0
6,1,47294000,936,17.338898295766906
6,8,0,936,5.0
7,1,48900000,936,16.76944490797546
7,8,0,936,5.0
8,1,51810000,936,15.827559467284308
8,8,1000,936,5.0
9,1,48793000,936,16.806219252761668
9,8,0,936,5.0
0,1,61068000,960,14.487718608764
0,8,0,960,5.0
1,1,60223000,960,14.690998455739502
1,8,1000,960,5.0
2,1,57301000,960,15.44014938657266
2,8,1000,960,5.0
3,1,56986000,960,15.525497490611729
3,8,1000,960,5.0
4,1,55989000,960,15.801961099501687
4,8,1000,960,5.0
5,1,57723000,960,15.327269892417235
5,8,0,960,5.0
6,1,55979000,960,15.804783936833456
6,8,0,960,5.0
7,1,56546000,960,15.646305662646341
7,8,1000,960,5.0
8,1,54953000,960,16.099867159208777
8,8,1000,960,5.0
9,1,57259000,960,15.451474877311863
9,8,1000,960,5.0
0,1,57621000,984,16.53501161035039
0,8,1000,984,5.0
1,1,57309000,984,16.625031042244675
1,8,1000,984,5.0
2,1,53982000,984,17.649659219739913
2,8,2000,984,5.0
3,1,54956000,984,17.336849552369166
3,8,0,984,5.0
4,1,53348000,984,17.85941186173802
4,8,0,984,5.0
5,1,53332000,984,17.86476981924548
5,8,0,984,5.0
6,1,60540000,984,15.7377585728444
6,8,1000,984,5.0
7,1,55022000,984,17.316053651266767
7,8,0,984,5.0
8,1,53710000,984,17.739041221374045
8,8,1000,984,5.0
9,1,52491000,984,18.150995484940275
9,8,0,984,5.0
0,1,60590000,1008,16.903655916817957
0,8,1000,1008,5.0
1,1,60008000,1008,17.067599520063993
1,8,0,1008,5.0
2,1,57473000,1008,17.820411532371722
2,8,1000,1008,5.0
3,1,59444000,1008,17.229535562882713
3,8,0,1008,5.0
4,1,57723000,1008,17.7432308092095
4,8,0,1008,5.0
5,1,59740000,1008,17.144166588550384
5,8,1000,1008,5.0
6,1,55770000,1008,18.364577945131792
6,8,1000,1008,5.0
7,1,58130000,1008,17.619000722518493
7,8,1000,1008,5.0
8,1,59235000,1008,17.290326867561408
8,8,1000,1008,5.0
9,1,58349000,1008,17.552871720166586
9,8,1000,1008,5.0
0,1,65177000,1032,16.86338383171978
0,8,0,1032,5.0
1,1,67027000,1032,16.39794065078252
1,8,0,1032,5.0
2,1,63928000,1032,17.192853960705794
2,8,1000,1032,5.0
3,1,64164000,1032,17.129617355526463
3,8,1000,1032,5.0
4,1,62923000,1032,17.46745654212291
4,8,1000,1032,5.0
5,1,60753000,1032,18.09136615475779
5,8,1000,1032,5.0
6,1,65135000,1032,16.874257588086284
6,8,1000,1032,5.0
7,1,62292000,1032,17.644396840685804
7,8,0,1032,5.0
8,1,64093000,1032,17.14859295086827
8,8,0,1032,5.0
9,1,61043000,1032,18.005418606556034
9,8,1000,1032,5.0
0,1,78940000,1056,14.917451431466937
0,8,0,1056,5.0
1,1,79408000,1056,14.829533749748137
1,8,1000,1056,5.0
2,1,78121000,1056,15.073842065513753
2,8,1000,1056,5.0
3,1,73280000,1056,16.069645414847162
3,8,0,1056,5.0
4,1,74084000,1056,15.895248852653744
4,8,1000,1056,5.0
5,1,74015000,1056,15.91006709450787
5,8,1000,1056,5.0
6,1,73284000,1056,16.068768298673653
6,8,1000,1056,5.0
7,1,74839000,1056,15.73489244912412
7,8,0,1056,5.0
8,1,74313000,1056,15.846266682814582
8,8,1000,1056,5.0
9,1,74953000,1056,15.71096041519352
9,8,1000,1056,5.0
0,1,75700000,1080,16.640845442536328
0,8,1000,1080,5.0
1,1,74245000,1080,16.96696073809684
1,8,1000,1080,5.0
2,1,72793000,1080,17.305400244529007
2,8,1000,1080,5.0
3,1,72061000,1080,17.481189547744272
3,8,1000,1080,5.0
4,1,70101000,1080,17.969957632558735
4,8,0,1080,5.0
5,1,72446000,1080,17.38828920851393
5,8,1000,1080,5.0
6,1,71971000,1080,17.503049839518695
6,8,1000,1080,5.0
7,1,74310000,1080,16.952119499394428
7,8,1000,1080,5.0
8,1,71494000,1080,17.619828237334602
8,8,1000,1080,5.0
9,1,71947000,1080,17.50888848735875
9,8,1000,1080,5.0
0,1,80041000,1104,16.811045139366076
0,8,1000,1104,5.0
1,1,79149000,1104,17.000503657658342
1,8,0,1104,5.0
2,1,74320000,1104,18.105124650161464
2,8,1000,1104,5.0
3,1,77028000,1104,17.46862003427325
3,8,0,1104,5.0
4,1,73937000,1104,18.198910748339802
4,8,0,1104,5.0
5,1,73763000,1104,18.2418402722232
5,8,1000,1104,5.0
