iterations,threads,time_in_ns,matrix_size,gmacs
4,c0,3412000,264,5.392656506447831
5,c0,552000,264,33.33286956521739
6,c0,658000,264,27.9631367781155
7,c0,2538000,264,7.249702127659575
8,c0,13509000,264,1.3620359760159892
9,c0,3331000,264,5.5237898528970275
10,c0,3222000,264,5.710659217877095
11,c0,632000,264,29.113518987341774
12,c0,1227000,264,14.995716381418093
13,c0,646000,264,28.48257585139319
14,c0,1589000,264,11.579448709880428
15,c0,991000,264,18.56684561049445
16,c0,525000,264,35.047131428571426
17,c0,520000,264,35.384123076923075
18,c0,655000,264,28.09121221374046
19,c0,500000,264,36.799488
20,c0,565000,264,32.56591858407079
21,c0,5039000,264,3.651467354633856
22,c0,3491000,264,5.27062274419937
23,c0,604000,264,30.463152317880795
24,c0,6739000,264,2.730337438789138
0,c0,2806000,288,8.513140413399858
1,c0,6704000,288,3.5632267303102627
2,c0,1043000,288,22.903041227229146
3,c0,1484000,288,16.096948787061994
4,c0,617000,288,38.7161620745543
5,c0,599000,288,39.879585976627716
6,c0,570000,288,41.908547368421054
7,c0,542000,288,44.073564575645754
8,c0,1435000,288,16.646600696864112
9,c0,585000,288,40.83396923076923
10,c0,549000,288,43.51160655737705
11,c0,584000,288,40.9038904109589
12,c0,2506000,288,9.532271348762968
13,c0,7672000,288,3.1136433785192907
14,c0,7877000,288,3.032610384664212
15,c0,700000,288,34.12553142857143
16,c0,653000,288,36.58173353751914
17,c0,553000,288,43.196875226039786
18,c0,568000,288,42.05611267605634
19,c0,568000,288,42.05611267605634
20,c0,567000,288,42.13028571428571
21,c0,569000,288,41.98220035149385
22,c0,559000,288,42.733223613595705
23,c0,579000,288,41.25711917098445
24,c0,587000,288,40.69484156729131
0,c0,2802000,312,10.839160599571734
1,c0,4250000,312,7.146194823529412
2,c0,2305000,312,13.176281127982646
3,c0,6960000,312,4.3636965517241375
4,c0,3335000,312,9.106844977511244
5,c0,991000,312,30.647152371342077
6,c0,10922000,312,2.7807478483794177
7,c0,159178000,312,0.19080104034477127
8,c0,5485000,312,5.53716098450319
9,c0,938000,312,32.3788144989339
10,c0,5664000,312,5.362169491525424
11,c0,10283000,312,2.9535474083438684
12,c0,6367000,312,4.770115910161771
13,c0,5388000,312,5.6368463251670375
14,c0,1147000,312,26.47892589363557
15,c0,805000,312,37.728357763975154
16,c0,4354000,312,6.975500229673863
17,c0,2804000,312,10.831429386590585
18,c0,20481000,312,1.4829025926468433
19,c0,3060000,312,9.925270588235295
20,c0,1045000,312,29.063471770334928
21,c0,830000,312,36.591961445783134
22,c0,773000,312,39.29020439844761
23,c0,862000,312,35.23355916473318
24,c0,16490000,312,1.841802789569436
0,c0,11958000,336,3.172190667335675
1,c0,16039000,336,2.3650511877299083
2,c0,14062000,336,2.6975576731617124
3,c0,1639000,336,23.144024405125077
4,c0,1874000,336,20.241758804695838
5,c0,3630000,336,10.449877685950414
6,c0,5235000,336,7.246046991404011
7,c0,16225000,336,2.3379387365177196
8,c0,4861000,336,7.803549886854556
9,c0,1410000,336,26.90287659574468
10,c0,3855000,336,9.839962645914397
11,c0,10627000,336,3.5694980709513504
12,c0,11743000,336,3.2302696074257002
13,c0,7321000,336,5.181403633383417
14,c0,1119000,336,33.899067024128684
