iterations,threads,time_in_ns,matrix_size,gmacs
18,c3,364000,264,50.548747252747255
19,c3,497000,264,37.02161770623742
20,c3,875000,264,21.02827885714286
21,c3,470000,264,39.1483914893617
22,c3,376000,264,48.935489361702125
23,c3,532000,264,34.585984962406016
24,c3,401000,264,45.88464837905237
0,c3,530000,288,45.07145660377358
1,c3,649000,288,36.80719876733436
2,c3,478000,288,49.97462761506276
3,c3,539000,288,44.3188719851577
4,c3,497000,288,48.06412877263581
5,c3,500000,288,47.775744
6,c3,490000,288,48.750759183673466
7,c3,530000,288,45.07145660377358
8,c3,488000,288,48.95055737704918
9,c3,517000,288,46.204781431334624
10,c3,565000,288,42.27941946902655
11,c3,488000,288,48.95055737704918
12,c3,491000,288,48.651470468431775
13,c3,491000,288,48.651470468431775
14,c3,462000,288,51.70535064935065
15,c3,561000,288,42.580877005347595
16,c3,575000,288,41.544125217391304
17,c3,562000,288,42.5051103202847
18,c3,460000,288,51.93015652173913
19,c3,453000,288,52.73260927152318
20,c3,563000,288,42.429612788632326
21,c3,440000,288,54.29061818181818
22,c3,5186000,288,4.60622290782877
23,c3,1080000,288,22.1184
24,c3,535000,288,44.65022803738318
0,c3,658000,312,46.15703343465046
1,c3,674000,312,45.061317507418394
2,c3,691000,312,43.952717800289435
3,c3,1065000,312,28.517678873239436
4,c3,837000,312,36.285935483870965
5,c3,1837000,312,16.533112683723463
6,c3,1542000,312,19.696062256809338
7,c3,628000,312,48.361987261146496
8,c3,719000,312,42.241068150208626
9,c3,883000,312,34.39561494903737
10,c3,633000,312,47.97998104265403
11,c3,847000,312,35.85753010625738
12,c3,616000,312,49.304103896103896
13,c3,663000,312,45.80894117647059
14,c3,641000,312,47.38116692667707
15,c3,633000,312,47.97998104265403
16,c3,644000,312,47.160447204968946
17,c3,2084000,312,14.573573896353167
18,c3,1225000,312,24.792920816326532
19,c3,1551000,312,19.581771760154737
20,c3,2005000,312,15.147794513715711
21,c3,872000,312,34.82950458715597
22,c3,765000,312,39.70108235294118
23,c3,625000,312,48.5941248
24,c3,678000,312,44.79546902654867
0,c3,1627000,336,23.314724031960665
1,c3,875000,336,43.352064
2,c3,757000,336,50.10971730515192
3,c3,780000,336,48.63212307692308
4,c3,768000,336,49.392
5,c3,758000,336,50.04360949868074
6,c3,750000,336,50.577408
7,c3,739000,336,51.33025169147496
8,c3,1110000,336,34.173924324324325
9,c3,882000,336,43.008
10,c3,726000,336,52.24938842975207
11,c3,734000,336,51.67991280653951
12,c3,735000,336,51.6096
13,c3,737000,336,51.46954681139756
14,c3,742000,336,51.12271698113207
15,c3,1579000,336,24.023468017732743
16,c3,1117000,336,33.959763652641
17,c3,820000,336,46.2598243902439
18,c3,901000,336,42.10106104328524
19,c3,765000,336,49.58569411764706
20,c3,772000,336,49.1360829015544
21,c3,774000,336,49.009116279069765
22,c3,724000,336,52.39372375690608
23,c3,740000,336,51.260886486486484
24,c3,850000,336,44.62712470588235
0,c3,4109000,360,11.354587490873692
1,c3,3845000,360,12.134200260078023
2,c3,1413000,360,33.01910828025478
3,c3,962000,360,48.4989604989605
4,c3,986000,360,47.3184584178499
5,c3,1042000,360,44.77543186180422
6,c3,1101000,360,42.37602179836512
7,c3,1449000,360,32.19875776397515
8,c3,1060000,360,44.01509433962264
9,c3,896000,360,52.07142857142857
10,c3,1988000,360,23.46881287726358
11,c3,876000,360,53.26027397260274
12,c3,938000,360,49.73987206823028
13,c3,924000,360,50.493506493506494
14,c3,897000,360,52.013377926421406
15,c3,946000,360,49.31923890063425
16,c3,886000,360,52.659142212189614
17,c3,1009000,360,46.239841427155596
18,c3,866000,360,53.87528868360277
19,c3,869000,360,53.68929804372842
20,c3,859000,360,54.31431897555297
21,c3,868000,360,53.75115207373272
22,c3,911000,360,51.21405049396268
23,c3,860000,360,54.25116279069768
24,c3,866000,360,53.87528868360277
0,c3,1190000,384,47.582440336134454
1,c3,1082000,384,52.33188909426987
2,c3,1089000,384,51.9955041322314
3,c3,1034000,384,54.76122243713733
4,c3,1273000,384,44.480050274941085
5,c3,1192000,384,47.50260402684564
6,c3,1040000,384,54.445292307692306
7,c3,1035000,384,54.70831304347826
8,c3,1077000,384,52.57484122562674
9,c3,1035000,384,54.70831304347826
10,c3,1047000,384,54.081283667621776
11,c3,1211000,384,46.75731131296449
12,c3,1084000,384,52.23533579335793
13,c3,1074000,384,52.72169832402235
14,c3,1408000,384,40.215272727272726
15,c3,1450000,384,39.05041655172414
16,c3,1173000,384,48.272040920716115
17,c3,1043000,384,54.28869031639501
18,c3,2063000,384,27.446972370334464
19,c3,1266000,384,44.72599052132701
20,c3,1110000,384,51.011805405405404
21,c3,1757000,384,32.22715082527035
22,c3,3703000,384,15.291143397245477
23,c3,2155000,384,26.275222273781903
24,c3,1128000,384,50.19778723404255
0,c3,1493000,408,45.490496985934364
1,c3,1530000,408,44.3904
2,c3,2161000,408,31.428649699213327
3,c3,1299000,408,52.28430484988453
4,c3,1517000,408,44.77080553724456
5,c3,2625000,408,25.873261714285714
6,c3,2931000,408,23.172061412487206
7,c3,1304000,408,52.0838282208589
8,c3,1274000,408,53.31029199372057
9,c3,1278000,408,53.14343661971831
10,c3,1297000,408,52.36492829606785
11,c3,1745000,408,38.92109570200573
12,c3,1928000,408,35.226821576763484
13,c3,1510000,408,44.9783523178808
14,c3,1273000,408,53.352169677926156
15,c3,1299000,408,52.28430484988453
16,c3,2888000,408,23.51707479224377
17,c3,1647000,408,41.236983606557374
18,c3,3836000,408,17.705242961418143
19,c3,1322000,408,51.3746686838124
20,c3,1280000,408,53.0604
21,c3,1244000,408,54.59590996784566
22,c3,1568000,408,43.31461224489796
23,c3,1322000,408,51.3746686838124
24,c3,1337000,408,50.79828870605834
0,c3,1674000,432,48.161032258064516
1,c3,2315000,432,34.8257313174946
2,c3,1579000,432,51.058624445851805
3,c3,1664000,432,48.45046153846154
4,c3,1609000,432,50.10663020509633
5,c3,1618000,432,49.82791594561186
6,c3,1510000,432,53.39176688741722
7,c3,1595000,432,50.54643761755486
8,c3,1959000,432,41.154450229709035
9,c3,6668000,432,12.090817036592682
10,c3,3209000,432,25.123579931442816
11,c3,1524000,432,52.90129133858268
12,c3,1573000,432,51.253380801017165
13,c3,1500000,432,53.747712
14,c3,1499000,432,53.78356771180787
15,c3,2063000,432,39.079771206980126
16,c3,1592000,432,50.641688442211056
17,c3,1537000,432,52.45385035783995
18,c3,1499000,432,53.78356771180787
19,c3,1730000,432,46.602062427745665
20,c3,1714000,432,47.037087514585764
21,c3,1717000,432,46.95490273733256
22,c3,1498000,432,53.81947129506008
23,c3,1505000,432,53.56914817275747
24,c3,1599000,432,50.41999249530957
0,c3,2353000,456,40.29698937526562
1,c3,3262000,456,29.067693439607602
2,c3,2066000,456,45.894877057115195
3,c3,1902000,456,49.85216403785489
4,c3,2996000,456,31.648469959946596
5,c3,2328000,456,40.72973195876288
6,c3,1812000,456,52.328264900662255
7,c3,1804000,456,52.560319290465635
8,c3,1792000,456,52.912285714285716
9,c3,1779000,456,53.298940978077574
10,c3,1790000,456,52.97140558659218
11,c3,1785000,456,53.11978487394958
12,c3,1773000,456,53.47930964467005
13,c3,1798000,456,52.735715239154615
14,c3,2048000,456,46.29825
15,c3,1760000,456,53.87432727272727
16,c3,1791000,456,52.94182914572864
17,c3,3879000,456,24.444139211136893
18,c3,2110000,456,44.93782748815166
19,c3,2219000,456,42.730426318161335
20,c3,2422000,456,39.14897440132122
21,c3,2221000,456,42.6919477712742
22,c3,2024000,456,46.847241106719366
23,c3,2753000,456,34.44199636759898
24,c3,1900000,456,49.90464
0,c3,2109000,480,52.43812233285917
1,c3,2191000,480,50.47558192606116
2,c3,3744000,480,29.53846153846154
3,c3,2139000,480,51.70266479663394
4,c3,2227000,480,49.65963179164795
5,c3,2137000,480,51.751052877866165
6,c3,5365000,480,20.613606710158436
7,c3,2246000,480,49.23953695458593
8,c3,5236000,480,21.121466768525593
9,c3,2125000,480,52.04329411764706
10,c3,4997000,480,22.131679007404443
11,c3,6479000,480,17.06930081802747
12,c3,6859000,480,16.12363318267969
13,c3,4733000,480,23.36615254595394
14,c3,10478000,480,10.554686008780301
15,c3,2344000,480,47.18088737201365
16,c3,4948000,480,22.350848827809216
17,c3,7114000,480,15.545684565645207
18,c3,2238000,480,49.415549597855225
19,c3,4019000,480,27.51729285892013
20,c3,4815000,480,22.96822429906542
21,c3,3033000,480,36.46290801186944
22,c3,2054000,480,53.84225900681597
23,c3,2113000,480,52.33885470894463
24,c3,2217000,480,49.88362652232747
0,c3,2703000,504,47.36369367369589
1,c3,2636000,504,48.567550834597874
2,c3,2541000,504,50.383338842975206
3,c3,5868000,504,21.817325153374235
4,c3,2627000,504,48.733941377997716
5,c3,3026000,504,42.30801850627891
6,c3,2743000,504,46.67300911410864
7,c3,2482000,504,51.5810088638195
8,c3,2472000,504,51.78966990291262
9,c3,3251000,504,39.379902799138726
10,c3,2627000,504,48.733941377997716
11,c3,4451000,504,28.762988991237926
12,c3,5047000,504,25.366368932038835
13,c3,3340000,504,38.33055808383234
14,c3,3594000,504,35.62160934891486
15,c3,2956000,504,43.309899864682
16,c3,2533000,504,50.54246506119226
17,c3,2454000,504,52.16954523227384
18,c3,2990000,504,42.8174127090301
19,c3,2652000,504,48.274533936651586
20,c3,2790000,504,45.88676129032258
21,c3,6022000,504,21.25939289272667
22,c3,4829000,504,26.511506316007456
23,c3,2825000,504,45.318252743362834
24,c3,2474000,504,51.747802748585286
0,c3,3898000,528,37.76242996408415
1,c3,3042000,528,48.38854437869823
2,c3,3005000,528,48.98434342762063
3,c3,2807000,528,52.439598147488425
4,c3,3581000,528,41.10526445127059
5,c3,7199000,528,20.446999861091818
6,c3,3033000,528,48.53213056379822
7,c3,2841000,528,51.81202111932418
8,c3,2814000,528,52.30915138592751
9,c3,3788000,528,38.85901583949314
10,c3,3087000,528,47.68317201166181
11,c3,3895000,528,37.79151527599487
12,c3,3306000,528,44.52448638838475
13,c3,7726000,528,19.05228475278281
14,c3,3287000,528,44.78185336172802
15,c3,2942000,528,50.03329435757988
16,c3,5093000,528,28.902012958963283
17,c3,11609000,528,12.679640968214317
18,c3,7446000,528,19.76872844480258
19,c3,9147000,528,16.092484093145295
20,c3,3570000,528,41.23191932773109
21,c3,3872000,528,38.016
22,c3,3150000,528,46.729508571428575
23,c3,5167000,528,28.488088252370815
24,c3,9147000,528,16.092484093145295
0,c3,6596000,552,25.499788963007884
1,c3,4045000,552,41.58136168108776
2,c3,3340000,552,50.35826586826347
3,c3,3344000,552,50.29802870813397
4,c3,4950000,552,33.97911272727273
5,c3,4641000,552,36.24145830639948
6,c3,6922000,552,24.298845420398727
7,c3,3656000,552,46.00563676148796
8,c3,4126000,552,40.7650528356762
9,c3,3177000,552,52.94196033994334
10,c3,3199000,552,52.57787058455767
11,c3,4075000,552,41.27524122699386
12,c3,3187000,552,52.77584185754628
